Source,Target,Type,Id,Label,Weight
Научно-исследовательская работа,Управление кредитными и процентными рисками,Undirected,1975,,1
Научно-исследовательская работа,Подготовка коммерческих предложений,Undirected,1942,,7
Научно-исследовательская работа,Power Pivot,Undirected,1799,,6
Научно-исследовательская работа,Самостоятельность,Undirected,1727,,2
Научно-исследовательская работа,Инициативность,Undirected,1665,,9
Научно-исследовательская работа,Визуализация данных,Undirected,1569,,9
Научно-исследовательская работа,Работа с Blockchain и цифровыми финансовыми активами,Undirected,1399,,1
Научно-исследовательская работа,Управление затратами,Undirected,1260,,5
Научно-исследовательская работа,QGIS,Undirected,1191,,2
Научно-исследовательская работа,Экономический анализ,Undirected,998,,8
Научно-исследовательская работа,Знания в области химической технологии,Undirected,606,,16
Научно-исследовательская работа,Знания в области социальной психологии,Undirected,565,,2
Научно-исследовательская работа,Мониторинг СМИ,Undirected,507,,2
Научно-исследовательская работа,Разработка сметной документации,Undirected,144,,1
UI/UX Дизайн,Научно-исследовательская работа,Undirected,6173,,73
Навыки оценки эффективности рекламных инструментов,Научно-исследовательская работа,Undirected,6118,,2
YouGile,Научно-исследовательская работа,Undirected,6077,,1
Электролиз,Научно-исследовательская работа,Undirected,6046,,4
Управление рисками,Научно-исследовательская работа,Undirected,6023,,19
Figma,Научно-исследовательская работа,Undirected,5918,,14
Финансовый анализ,Научно-исследовательская работа,Undirected,5820,,32
Microsoft Excel,Научно-исследовательская работа,Undirected,5812,,161
Инжиниринг,Научно-исследовательская работа,Undirected,5540,,1
Разработка конструкторской документации,Научно-исследовательская работа,Undirected,4711,,4
Маркетинг,Научно-исследовательская работа,Undirected,4550,,28
Microsoft PowerPoint,Научно-исследовательская работа,Undirected,3898,,178
Анализ данных,Научно-исследовательская работа,Undirected,3446,,203
Составление карты пути клиента (CJM),Научно-исследовательская работа,Undirected,3407,,61
Численные расчеты,Научно-исследовательская работа,Undirected,3307,,5
Оценка эффективности рекламных инструментов,Научно-исследовательская работа,Undirected,3301,,2
DAX,Научно-исследовательская работа,Undirected,3269,,13
Знания в области материаловедения,Научно-исследовательская работа,Undirected,3255,,4
IBM SPSS Statistics,Научно-исследовательская работа,Undirected,3250,,23
Управление данными,Научно-исследовательская работа,Undirected,2759,,8
Ведение бухгалтерского учета,Научно-исследовательская работа,Undirected,2421,,1
Python,Научно-исследовательская работа,Undirected,2275,,7
3D печать,Научно-исследовательская работа,Undirected,2121,,3
Управление продуктом,Научно-исследовательская работа,Undirected,2059,,410
Написание статей,Научно-исследовательская работа,Undirected,1711,,30
Знания в области гидрометаллургии,Научно-исследовательская работа,Undirected,1708,,4
Работа с биржами,Научно-исследовательская работа,Undirected,1347,,18
Знание нормативно-правовых документов,Научно-исследовательская работа,Undirected,1308,,11
Взаимодействие с образовательными организациями,Научно-исследовательская работа,Undirected,830,,2
Машинное обучение,Научно-исследовательская работа,Undirected,701,,3
Анализ инвестиционных проектов,Научно-исследовательская работа,Undirected,550,,11
GameDev,Научно-исследовательская работа,Undirected,282,,3
Apache Kafka,Научно-исследовательская работа,Undirected,233,,2
Моделирование рисков,Научно-исследовательская работа,Undirected,232,,8
Медиалогия,Научно-исследовательская работа,Undirected,43,,2
Microsoft PowerPoint,Анализ инвестиционных проектов,Undirected,6248,,2
Microsoft PowerPoint,Финансовый анализ,Undirected,6139,,6
Microsoft PowerPoint,Инициативность,Undirected,5688,,8
Microsoft PowerPoint,Создание презентационных материалов,Undirected,5506,,75
Microsoft PowerPoint,Умение преподавать,Undirected,5056,,5
Microsoft PowerPoint,Умение принимать решения,Undirected,5007,,3
Microsoft PowerPoint,Разработка пользовательских сценариев,Undirected,4581,,4
Microsoft PowerPoint,Визуализация данных,Undirected,4475,,1
Microsoft PowerPoint,UI/UX Дизайн,Undirected,4428,,10
Microsoft PowerPoint,Написание статей,Undirected,3675,,4
Microsoft PowerPoint,Анализ данных,Undirected,3292,,32
Microsoft PowerPoint,Проведение интервью,Undirected,2571,,12
Microsoft PowerPoint,Управленческое консультирование,Undirected,2251,,34
Microsoft PowerPoint,Анализ продукта,Undirected,2147,,2
Microsoft PowerPoint,Экономический анализ,Undirected,1359,,5
Microsoft PowerPoint,Qlik Sense,Undirected,997,,2
Microsoft PowerPoint,Обслуживание клиентов банка,Undirected,985,,6
Microsoft PowerPoint,Публичные выступления и проведение презентаций,Undirected,905,,77
Microsoft PowerPoint,Power Pivot,Undirected,737,,2
Microsoft PowerPoint,Экспедирование и транспортная логистика,Undirected,254,,2
Microsoft PowerPoint,Подготовка коммерческих предложений,Undirected,239,,2
Microsoft PowerPoint,Знания в области электротехники,Undirected,76,,22
Microsoft PowerPoint,Microsoft PowerPoint,Undirected,37,,1
Управление данными,Microsoft PowerPoint,Undirected,5707,,3
Управление производством,Microsoft PowerPoint,Undirected,5594,,2
Составление карты пути клиента (CJM),Microsoft PowerPoint,Undirected,5592,,12
Управление продуктом,Microsoft PowerPoint,Undirected,4862,,61
Figma,Microsoft PowerPoint,Undirected,4045,,5
Работа с биржами,Microsoft PowerPoint,Undirected,3956,,6
Microsoft Excel,Microsoft PowerPoint,Undirected,2604,,48
DAX,Microsoft PowerPoint,Undirected,1626,,4
IBM SPSS Statistics,Microsoft PowerPoint,Undirected,63,,12
Разработка конструкторской документации,Разработка чертежей,Undirected,40,,3
Медиалогия,Microsoft Excel,Undirected,4977,,2
Медиалогия,Мониторинг СМИ,Undirected,4941,,2
Медиалогия,Работа с системами мониторинга,Undirected,4128,,2
Медиалогия,Анализ данных,Undirected,283,,2
Написание статей,Проведение интервью,Undirected,4281,,6
Написание статей,Создание презентационных материалов,Undirected,4097,,5
Написание статей,Технический перевод,Undirected,3203,,1
Написание статей,Управление продуктом,Undirected,2679,,2
Написание статей,Публичные выступления и проведение презентаций,Undirected,2298,,10
Написание статей,Фотосъемка,Undirected,644,,2
Анализ данных,Написание статей,Undirected,5754,,1
IBM SPSS Statistics,Написание статей,Undirected,5316,,4
Figma,Написание статей,Undirected,4903,,2
Численные расчеты,Написание статей,Undirected,2293,,1
Создание презентационных материалов,Чтение технической документации,Undirected,6047,,9
Создание презентационных материалов,Управление продуктом,Undirected,5790,,23
Создание презентационных материалов,Анализ продукта,Undirected,5744,,2
Создание презентационных материалов,Прохождение и проведение экспертиз,Undirected,5229,,9
Создание презентационных материалов,Управление производством,Undirected,4875,,10
Создание презентационных материалов,Публичные выступления и проведение презентаций,Undirected,4726,,106
Создание презентационных материалов,Умение преподавать,Undirected,3055,,5
Создание презентационных материалов,Создание презентационных материалов,Undirected,2662,,11
Создание презентационных материалов,Проведение интервью,Undirected,1828,,28
Создание презентационных материалов,Технический перевод,Undirected,1741,,1
Создание презентационных материалов,Финансовый анализ,Undirected,1488,,7
Создание презентационных материалов,Экономический анализ,Undirected,48,,5
Figma,Создание презентационных материалов,Undirected,6185,,3
Работа с инвесторами,Создание презентационных материалов,Undirected,5958,,12
Qlik Sense,Создание презентационных материалов,Undirected,5957,,2
Работа с биржами,Создание презентационных материалов,Undirected,5870,,4
Управление рисками,Создание презентационных материалов,Undirected,5806,,1
Подготовка коммерческих предложений,Создание презентационных материалов,Undirected,5797,,3
Microsoft Excel,Создание презентационных материалов,Undirected,5687,,41
IBM SPSS Statistics,Создание презентационных материалов,Undirected,5587,,4
Обслуживание клиентов банка,Создание презентационных материалов,Undirected,5486,,4
UI/UX Дизайн,Создание презентационных материалов,Undirected,4396,,13
Анализ инвестиционных проектов,Создание презентационных материалов,Undirected,4266,,1
DAX,Создание презентационных материалов,Undirected,3333,,4
Инициативность,Создание презентационных материалов,Undirected,2756,,10
Разработка пользовательских сценариев,Создание презентационных материалов,Undirected,2463,,2
Управленческое консультирование,Создание презентационных материалов,Undirected,1654,,31
Анализ данных,Создание презентационных материалов,Undirected,1511,,55
Составление карты пути клиента (CJM),Создание презентационных материалов,Undirected,1474,,4
Power Pivot,Создание презентационных материалов,Undirected,447,,2
Ведение финансовой отчетности,Создание презентационных материалов,Undirected,305,,2
Выполнение производственного технического контроля,Создание презентационных материалов,Undirected,273,,9
Экономический анализ,Публичные выступления и проведение презентаций,Undirected,3268,,5
Экономический анализ,Экономический анализ,Undirected,558,,1
Microsoft Excel,Экономический анализ,Undirected,4916,,2
Управленческое консультирование,Экономический анализ,Undirected,4591,,1
Анализ инвестиционных проектов,Экономический анализ,Undirected,1629,,2
Анализ данных,Экономический анализ,Undirected,1624,,1
Финансовый анализ,Экономический анализ,Undirected,940,,4
Умение принимать решения,Проведение интервью,Undirected,3081,,1
Составление карты пути клиента (CJM),Умение принимать решения,Undirected,6633,,5
Управление рисками,Умение принимать решения,Undirected,6309,,3
UI/UX Дизайн,Умение принимать решения,Undirected,5616,,5
Математический анализ,Умение принимать решения,Undirected,4619,,1
Управление данными,Умение принимать решения,Undirected,4096,,3
Публичные выступления и проведение презентаций,Умение принимать решения,Undirected,3680,,6
Разработка пользовательских сценариев,Умение принимать решения,Undirected,2341,,3
Microsoft Excel,Умение принимать решения,Undirected,1504,,3
Моделирование рисков,Умение принимать решения,Undirected,881,,2
Маркетинг,Умение принимать решения,Undirected,513,,3
Управление продуктом,Умение принимать решения,Undirected,363,,35
Анализ данных,Умение принимать решения,Undirected,50,,6
Анализ данных,Выполнение производственного технического контроля,Undirected,6446,,2
Анализ данных,Контроль качества,Undirected,5884,,2
Анализ данных,Инициативность,Undirected,4993,,2
Анализ данных,Умение преподавать,Undirected,4509,,5
Анализ данных,Анализ данных,Undirected,4037,,1
Анализ данных,Визуализация данных,Undirected,3752,,1
Анализ данных,Финансовый анализ,Undirected,3590,,6
Анализ данных,Работа с Blockchain и цифровыми финансовыми активами,Undirected,3540,,1
Анализ данных,Мониторинг СМИ,Undirected,3487,,2
Анализ данных,Управленческое консультирование,Undirected,3326,,9
Анализ данных,Публичные выступления и проведение презентаций,Undirected,2788,,51
Анализ данных,Работа с жилой недвижимостью,Undirected,2561,,2
Анализ данных,Управление рисками,Undirected,1908,,3
Анализ данных,Составление графиков,Undirected,1759,,1
Анализ данных,Маркетинг,Undirected,1695,,1
Анализ данных,Работа с системами мониторинга,Undirected,1578,,2
Анализ данных,Разработка пользовательских сценариев,Undirected,1151,,1
Анализ данных,Проведение интервью,Undirected,1084,,25
Анализ данных,Чтение технической документации,Undirected,713,,2
Анализ данных,Управление затратами,Undirected,708,,1
Анализ данных,Моделирование рисков,Undirected,615,,2
Анализ данных,Математический анализ,Undirected,138,,5
Управление продуктом,Анализ данных,Undirected,6692,,26
Ведение финансовой отчетности,Анализ данных,Undirected,6471,,1
DAX,Анализ данных,Undirected,6160,,3
Составление карты пути клиента (CJM),Анализ данных,Undirected,5412,,4
GameDev,Анализ данных,Undirected,5324,,3
Управление данными,Анализ данных,Undirected,4632,,4
Обслуживание клиентов банка,Анализ данных,Undirected,4203,,4
Microsoft Excel,Анализ данных,Undirected,3134,,82
Power Pivot,Анализ данных,Undirected,2103,,2
Python,Анализ данных,Undirected,2016,,4
Figma,Анализ данных,Undirected,1297,,5
Работа с биржами,Анализ данных,Undirected,1284,,4
IBM SPSS Statistics,Анализ данных,Undirected,1214,,3
UI/UX Дизайн,Анализ данных,Undirected,727,,6
Публичные выступления и проведение презентаций,Контроль качества,Undirected,6586,,2
Публичные выступления и проведение презентаций,Публичные выступления и проведение презентаций,Undirected,6029,,60
Публичные выступления и проведение презентаций,Управление продуктом,Undirected,5808,,121
Публичные выступления и проведение презентаций,Чтение технической документации,Undirected,3147,,3
Публичные выступления и проведение презентаций,Знания в области электротехники,Undirected,2547,,18
Публичные выступления и проведение презентаций,Технический перевод,Undirected,2116,,1
Публичные выступления и проведение презентаций,Управление рисками,Undirected,226,,2
Численные расчеты,Публичные выступления и проведение презентаций,Undirected,6483,,3
Математический анализ,Публичные выступления и проведение презентаций,Undirected,5987,,3
Инжиниринг,Публичные выступления и проведение презентаций,Undirected,5803,,1
Подготовка коммерческих предложений,Публичные выступления и проведение презентаций,Undirected,5480,,5
Управление данными,Публичные выступления и проведение презентаций,Undirected,4661,,6
UI/UX Дизайн,Публичные выступления и проведение презентаций,Undirected,4440,,13
Ведение финансовой отчетности,Публичные выступления и проведение презентаций,Undirected,4246,,2
Apache Kafka,Публичные выступления и проведение презентаций,Undirected,3868,,2
Финансовый анализ,Публичные выступления и проведение презентаций,Undirected,3738,,2
Figma,Публичные выступления и проведение презентаций,Undirected,3459,,6
IBM SPSS Statistics,Публичные выступления и проведение презентаций,Undirected,2869,,8
Взаимодействие с образовательными организациями,Публичные выступления и проведение презентаций,Undirected,2634,,3
QGIS,Публичные выступления и проведение презентаций,Undirected,2525,,1
Анализ инвестиционных проектов,Публичные выступления и проведение презентаций,Undirected,1956,,2
Microsoft Excel,Публичные выступления и проведение презентаций,Undirected,1787,,49
Работа с инвесторами,Публичные выступления и проведение презентаций,Undirected,1713,,14
Инициативность,Публичные выступления и проведение презентаций,Undirected,1377,,6
Маркетинг,Публичные выступления и проведение презентаций,Undirected,1278,,3
Параллельное программирование,Публичные выступления и проведение презентаций,Undirected,1256,,3
Управленческое консультирование,Публичные выступления и проведение презентаций,Undirected,1050,,25
Python,Публичные выступления и проведение презентаций,Undirected,923,,3
Управление производством,Публичные выступления и проведение презентаций,Undirected,699,,3
Составление карты пути клиента (CJM),Публичные выступления и проведение презентаций,Undirected,557,,4
3D печать,Публичные выступления и проведение презентаций,Undirected,341,,4
Проведение интервью,Публичные выступления и проведение презентаций,Undirected,68,,6
UI/UX Дизайн,Подготовка коммерческих предложений,Undirected,5393,,3
UI/UX Дизайн,Управленческое консультирование,Undirected,5363,,4
UI/UX Дизайн,UI/UX Дизайн,Undirected,5336,,30
UI/UX Дизайн,Проведение интервью,Undirected,4873,,6
UI/UX Дизайн,Разработка пользовательских сценариев,Undirected,3859,,17
UI/UX Дизайн,Самостоятельность,Undirected,2888,,1
UI/UX Дизайн,Прототипирование,Undirected,731,,13
UI/UX Дизайн,Анализ продукта,Undirected,675,,2
UI/UX Дизайн,Визуализация данных,Undirected,578,,10
Microsoft Excel,UI/UX Дизайн,Undirected,5355,,5
Составление карты пути клиента (CJM),UI/UX Дизайн,Undirected,3490,,21
Figma,UI/UX Дизайн,Undirected,2649,,27
Управление продуктом,UI/UX Дизайн,Undirected,1607,,52
Маркетинг,UI/UX Дизайн,Undirected,435,,7
IBM SPSS Statistics,Проведение интервью,Undirected,6717,,8
IBM SPSS Statistics,IBM SPSS Statistics,Undirected,5908,,3
IBM SPSS Statistics,Финансовый анализ,Undirected,3308,,2
Microsoft Excel,IBM SPSS Statistics,Undirected,1605,,8
Python,IBM SPSS Statistics,Undirected,1091,,3
Управленческое консультирование,Финансовый анализ,Undirected,6365,,1
Управленческое консультирование,Управление продуктом,Undirected,5114,,1
Управленческое консультирование,Управленческое консультирование,Undirected,2895,,28
Управленческое консультирование,Математический анализ,Undirected,2488,,1
Управленческое консультирование,Анализ продукта,Undirected,1178,,2
Управленческое консультирование,Проведение интервью,Undirected,752,,9
Управленческое консультирование,Работа с инвесторами,Undirected,64,,2
Обслуживание клиентов банка,Управленческое консультирование,Undirected,5978,,8
Работа с жилой недвижимостью,Управленческое консультирование,Undirected,5807,,1
DAX,Управленческое консультирование,Undirected,5682,,6
Power Pivot,Управленческое консультирование,Undirected,4789,,2
Microsoft Excel,Управленческое консультирование,Undirected,4781,,19
Разработка пользовательских сценариев,Управленческое консультирование,Undirected,2601,,4
Qlik Sense,Управленческое консультирование,Undirected,2486,,4
Составление карты пути клиента (CJM),Управленческое консультирование,Undirected,2079,,4
Python,Управленческое консультирование,Undirected,1582,,1
Работа с биржами,Управленческое консультирование,Undirected,1508,,8
Взаимодействие с образовательными организациями,Управленческое консультирование,Undirected,574,,1
Работа с инвесторами,Работа с инвесторами,Undirected,1225,,1
Python,Работа с инвесторами,Undirected,5078,,1
Ведение финансовой отчетности,Работа с инвесторами,Undirected,2859,,1
Знание нормативно-правовых документов,Работа с инвесторами,Undirected,2362,,1
Управление рисками,Работа с инвесторами,Undirected,1810,,6
Моделирование рисков,Работа с инвесторами,Undirected,682,,3
Управление продуктом,Работа с инвесторами,Undirected,577,,1
Проведение интервью,Проведение интервью,Undirected,1963,,30
Проведение интервью,Знания в области социальной психологии,Undirected,976,,2
Проведение интервью,Управление продуктом,Undirected,698,,23
Маркетинг,Проведение интервью,Undirected,6157,,6
Визуализация данных,Проведение интервью,Undirected,5909,,6
Обслуживание клиентов банка,Проведение интервью,Undirected,5320,,6
Контроль качества,Проведение интервью,Undirected,4991,,4
Python,Проведение интервью,Undirected,4074,,1
Составление карты пути клиента (CJM),Проведение интервью,Undirected,3523,,7
Управление производством,Проведение интервью,Undirected,1627,,2
Microsoft Excel,Проведение интервью,Undirected,1499,,7
Работа с биржами,Проведение интервью,Undirected,782,,6
Microsoft Excel,Работа с системами мониторинга,Undirected,6382,,2
Microsoft Excel,Разработка сметной документации,Undirected,6039,,1
Microsoft Excel,Умение преподавать,Undirected,5827,,5
Microsoft Excel,Работа с биржами,Undirected,5801,,6
Microsoft Excel,Анализ инвестиционных проектов,Undirected,5219,,1
Microsoft Excel,Анализ продукта,Undirected,4672,,2
Microsoft Excel,Python,Undirected,4569,,2
Microsoft Excel,Microsoft Excel,Undirected,3806,,13
Microsoft Excel,Математический анализ,Undirected,3099,,2
Microsoft Excel,Qlik Sense,Undirected,2651,,2
Microsoft Excel,Финансовый анализ,Undirected,2456,,13
Microsoft Excel,Обслуживание клиентов банка,Undirected,2328,,6
Microsoft Excel,Выполнение производственного технического контроля,Undirected,2228,,1
Microsoft Excel,Разработка пользовательских сценариев,Undirected,2192,,4
Microsoft Excel,Работа с жилой недвижимостью,Undirected,2138,,2
Microsoft Excel,Визуализация данных,Undirected,1876,,1
Microsoft Excel,Power Pivot,Undirected,1320,,2
Microsoft Excel,Мониторинг СМИ,Undirected,869,,2
Microsoft Excel,Ведение финансовой отчетности,Undirected,817,,1
DAX,Microsoft Excel,Undirected,4601,,5
Управление данными,Microsoft Excel,Undirected,4067,,3
Управление продуктом,Microsoft Excel,Undirected,3207,,11
Составление карты пути клиента (CJM),Microsoft Excel,Undirected,388,,10
Управление затратами,Управление затратами,Undirected,2145,,2
Управление затратами,Контроль качества,Undirected,1532,,1
Управление производством,Управление затратами,Undirected,6188,,8
Управление продуктом,Управление затратами,Undirected,878,,1
Управление продуктом,Знания в области электротехники,Undirected,4786,,44
Чтение технической документации,Управление производством,Undirected,5414,,9
Чтение технической документации,Прохождение и проведение экспертиз,Undirected,79,,9
Математический анализ,Чтение технической документации,Undirected,6287,,1
Параллельное программирование,Чтение технической документации,Undirected,4229,,1
Взаимодействие с образовательными организациями,Чтение технической документации,Undirected,3195,,1
Python,Чтение технической документации,Undirected,2598,,1
Численные расчеты,Чтение технической документации,Undirected,1661,,1
Выполнение производственного технического контроля,Чтение технической документации,Undirected,895,,11
Прохождение и проведение экспертиз,Управление производством,Undirected,1437,,9
Выполнение производственного технического контроля,Прохождение и проведение экспертиз,Undirected,5122,,9
Знание нормативно-правовых документов,Проектное финансирование,Undirected,6261,,6
Знание нормативно-правовых документов,Управление рисками,Undirected,6145,,10
Python,Знание нормативно-правовых документов,Undirected,5725,,1
Управление продуктом,Знание нормативно-правовых документов,Undirected,832,,1
Моделирование рисков,Знание нормативно-правовых документов,Undirected,100,,3
Управление продуктом,Управление рисками,Undirected,6239,,12
Управление продуктом,Знания в области социальной психологии,Undirected,4622,,2
Управление продуктом,Работа с биржами,Undirected,4458,,2
Управление продуктом,Контроль качества,Undirected,3963,,8
Управление продуктом,Управление данными,Undirected,3456,,6
Управление продуктом,Управление производством,Undirected,3449,,2
Управление продуктом,Самостоятельность,Undirected,3279,,1
Управление продуктом,Математический анализ,Undirected,2853,,4
Управление продуктом,Моделирование рисков,Undirected,2288,,5
Управление продуктом,Подготовка коммерческих предложений,Undirected,2042,,6
Управление продуктом,Qlik Sense,Undirected,1951,,1
Управление продуктом,Управление продуктом,Undirected,1912,,267
Управление продуктом,Финансовый анализ,Undirected,1829,,2
Управление продуктом,Обеспечение информационной безопасности,Undirected,634,,3
Управление продуктом,Python,Undirected,443,,1
Управление продуктом,Анализ продукта,Undirected,423,,1
Управление продуктом,Apache Kafka,Undirected,251,,2
3D печать,Управление продуктом,Undirected,6343,,2
Составление карты пути клиента (CJM),Управление продуктом,Undirected,5612,,31
Визуализация данных,Управление продуктом,Undirected,5143,,10
Figma,Управление продуктом,Undirected,4860,,7
Анализ инвестиционных проектов,Управление продуктом,Undirected,4173,,2
Прототипирование,Управление продуктом,Undirected,3795,,27
Маркетинг,Управление продуктом,Undirected,2479,,48
Ведение финансовой отчетности,Управление продуктом,Undirected,1843,,1
Разработка пользовательских сценариев,Управление продуктом,Undirected,1671,,33
Моделирование рисков,Управление рисками,Undirected,5804,,23
Моделирование рисков,Моделирование рисков,Undirected,3920,,6
Моделирование рисков,Финансовый анализ,Undirected,3086,,6
Моделирование рисков,Управление кредитными и процентными рисками,Undirected,1918,,3
Python,Моделирование рисков,Undirected,3022,,3
Управление производством,Финансовый анализ,Undirected,5971,,1
Управление производством,Управление производством,Undirected,3208,,2
Управление производством,Маркетинг,Undirected,1938,,2
Выполнение производственного технического контроля,Управление производством,Undirected,1472,,9
Разработка пользовательских сценариев,Визуализация данных,Undirected,3574,,2
Разработка пользовательских сценариев,Анализ продукта,Undirected,2647,,2
Разработка пользовательских сценариев,Математический анализ,Undirected,1603,,1
Разработка пользовательских сценариев,Прототипирование,Undirected,1204,,5
Составление карты пути клиента (CJM),Разработка пользовательских сценариев,Undirected,5158,,6
Маркетинг,Разработка пользовательских сценариев,Undirected,3013,,8
Figma,Разработка пользовательских сценариев,Undirected,2745,,5
Ведение финансовой отчетности,Составление карты пути клиента (CJM),Undirected,5569,,1
Ведение финансовой отчетности,Финансовый анализ,Undirected,112,,2
Ведение бухгалтерского учета,Ведение финансовой отчетности,Undirected,4554,,1
Разработка сметной документации,Ведение финансовой отчетности,Undirected,404,,1
Финансовый анализ,Финансовый анализ,Undirected,6740,,1
Финансовый анализ,Работа с жилой недвижимостью,Undirected,4317,,1
Финансовый анализ,Работа с биржами,Undirected,4076,,2
Ведение бухгалтерского учета,Финансовый анализ,Undirected,5913,,1
Работа с Blockchain и цифровыми финансовыми активами,Финансовый анализ,Undirected,3819,,1
Управление кредитными и процентными рисками,Финансовый анализ,Undirected,3714,,2
Python,Финансовый анализ,Undirected,2728,,2
Управление рисками,Финансовый анализ,Undirected,917,,6
Разработка сметной документации,Финансовый анализ,Undirected,729,,1
Управление рисками,Управление кредитными и процентными рисками,Undirected,6149,,3
Управление рисками,Управление рисками,Undirected,1930,,9
Обеспечение информационной безопасности,Управление рисками,Undirected,4486,,1
Python,Управление рисками,Undirected,4441,,4
Контроль качества,Управление рисками,Undirected,2747,,1
Проектное финансирование,Управление рисками,Undirected,899,,6
Обслуживание клиентов банка,Qlik Sense,Undirected,2165,,2
Работа с биржами,Обслуживание клиентов банка,Undirected,4329,,6
DAX,Обслуживание клиентов банка,Undirected,3960,,2
Мониторинг СМИ,Работа с системами мониторинга,Undirected,936,,2
Контроль качества,Контроль качества,Undirected,643,,2
Составление карты пути клиента (CJM),Контроль качества,Undirected,4878,,2
Математический анализ,Организация учебного процесса,Undirected,4984,,1
Работа с жилой недвижимостью,Математический анализ,Undirected,6129,,1
Маркетинг,Математический анализ,Undirected,5990,,1
Численные расчеты,Математический анализ,Undirected,5240,,1
GameDev,Математический анализ,Undirected,3951,,3
Параллельное программирование,Математический анализ,Undirected,3838,,1
Взаимодействие с образовательными организациями,Математический анализ,Undirected,2150,,1
Python,Математический анализ,Undirected,1902,,2
Обеспечение информационной безопасности,Обеспечение информационной безопасности,Undirected,4455,,1
YouGile,Знания в области силовой электроники,Undirected,2804,,1
DAX,Qlik Sense,Undirected,5296,,2
DAX,Работа с биржами,Undirected,2959,,2
DAX,Power Pivot,Undirected,1203,,2
Маркетинг,Прототипирование,Undirected,5651,,2
Маркетинг,Самостоятельность,Undirected,4269,,1
Маркетинг,Маркетинг,Undirected,1634,,2
Маркетинг,Figma,Undirected,666,,2
Составление карты пути клиента (CJM),Маркетинг,Undirected,459,,4
Qlik Sense,Анализ продукта,Undirected,3439,,1
Работа с биржами,Qlik Sense,Undirected,4391,,2
Составление карты пути клиента (CJM),Самостоятельность,Undirected,5875,,1
Численные расчеты,Параллельное программирование,Undirected,6234,,1
Численные расчеты,Взаимодействие с образовательными организациями,Undirected,5263,,1
Численные расчеты,Python,Undirected,4868,,1
Электролиз,Знания в области гидрометаллургии,Undirected,3389,,2
Электролиз,Знания в области химической технологии,Undirected,2006,,2
Электролиз,Знания в области материаловедения,Undirected,266,,2
Знания в области материаловедения,Знания в области химической технологии,Undirected,4178,,2
Знания в области гидрометаллургии,Знания в области материаловедения,Undirected,1031,,2
Составление карты пути клиента (CJM),Визуализация данных,Undirected,5199,,3
Составление карты пути клиента (CJM),Figma,Undirected,4835,,5
Составление карты пути клиента (CJM),Анализ продукта,Undirected,4802,,2
Составление карты пути клиента (CJM),Прототипирование,Undirected,3361,,2
Python,Параллельное программирование,Undirected,2993,,1
Python,Работа с жилой недвижимостью,Undirected,1046,,1
Python,Взаимодействие с образовательными организациями,Undirected,829,,1
Визуализация данных,Прототипирование,Undirected,880,,2
Figma,Визуализация данных,Undirected,2396,,4
Figma,Прототипирование,Undirected,4390,,5
Figma,Figma,Undirected,2680,,1
3D печать,Умение преподавать,Undirected,2168,,1
Управление данными,Составление графиков,Undirected,6109,,1
Взаимодействие с образовательными организациями,Параллельное программирование,Undirected,6389,,1
Знания в области гидрометаллургии,Знания в области химической технологии,Undirected,2350,,2
Анализ инвестиционных проектов,Анализ инвестиционных проектов,Undirected,5589,,1
Машинное обучение,Навыки оценки эффективности рекламных инструментов,Undirected,1092,,2
Машинное обучение,Оценка эффективности рекламных инструментов,Undirected,760,,2
Навыки оценки эффективности рекламных инструментов,Оценка эффективности рекламных инструментов,Undirected,2670,,2
